ASVid	its-01_F_filt.fastq.gz	its-10_F_filt.fastq.gz	its-11_F_filt.fastq.gz	its-12_F_filt.fastq.gz	its-13_F_filt.fastq.gz	its-14_F_filt.fastq.gz	its-15_F_filt.fastq.gz	its-16_F_filt.fastq.gz	its-17_F_filt.fastq.gz	its-18_F_filt.fastq.gz	its-19_F_filt.fastq.gz	its-02_F_filt.fastq.gz	its-20_F_filt.fastq.gz	its-21_F_filt.fastq.gz	its-22_F_filt.fastq.gz	its-23_F_filt.fastq.gz	its-24_F_filt.fastq.gz	its-25_F_filt.fastq.gz	its-26_F_filt.fastq.gz	its-27_F_filt.fastq.gz	its-28_F_filt.fastq.gz	its-29_F_filt.fastq.gz	its-03_F_filt.fastq.gz	its-30_F_filt.fastq.gz	its-31_F_filt.fastq.gz	its-32_F_filt.fastq.gz	its-33_F_filt.fastq.gz	its-34_F_filt.fastq.gz	its-35_F_filt.fastq.gz	its-36_F_filt.fastq.gz	its-37_F_filt.fastq.gz	its-38_F_filt.fastq.gz	its-39_F_filt.fastq.gz	its-04_F_filt.fastq.gz	its-40_F_filt.fastq.gz	its-41_F_filt.fastq.gz	its-42_F_filt.fastq.gz	its-43_F_filt.fastq.gz	its-44_F_filt.fastq.gz	its-45_F_filt.fastq.gz	its-46_F_filt.fastq.gz	its-47_F_filt.fastq.gz	its-48_F_filt.fastq.gz	its-05_F_filt.fastq.gz	its-06_F_filt.fastq.gz	its-07_F_filt.fastq.gz	its-08_F_filt.fastq.gz	its-09_F_filt.fastq.gz	its-negC_F_filt.fastq.gz	its-posC_F_filt.fastq.gz	ASVid	similarity	query_length	taxonomy
4bae0ab2637d7709616476c5311975b4	1928	223	471	1838	366	217	423	212	9176	20845	12900	275	27173	10276	9378	4070	11795	2686	2252	1573	1238	44613	505	10411	3370	7757	18	33	0	79	153	1944	45	512	171	85	87	22	54	41	61	19	33	344	886	481	335	406	0	0	4bae0ab2637d7709616476c5311975b4	100	190	"Cladosporium_sphaerospermum|DQ780343|SH4358594.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum"
4322befce0b15914a022f8227bba0bd0	630	467	313	463	227	245	198	443	51	19002	31	561	444	0	109	487	215	94	94	493	33	0	593	79	74	71	14534	31287	2303	3788	779	5981	9107	680	54	19042	17522	5631	4984	3108	7698	5922	4765	976	1311	837	2593	309	0	0	4322befce0b15914a022f8227bba0bd0	99.405	168	"Plectosphaerella_ramiseptata|LR026832|SH3177511.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_ramiseptata"
b560eb1564ee2376e114397836e766ee	51	10	429	0	57	7	14	25	0	0	0	4	0	0	5	22	0	39	6	22	36	0	145	0	62	4	5023	27343	12864	5179	71686	17415	18105	18	104	3	0	2208	6	1315	25	27	658	22	20	28	93	130	0	0	b560eb1564ee2376e114397836e766ee	100	204	"Colletotrichum_coccodes|HM171679|SH0899393.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_coccodes"
4807055b51e7e5d9639d7e1650af8c0e	124	133	329	114	168	124	352	151	21194	2168	30414	84	11291	666	6656	2706	368	9604	402	526	13738	662	328	21287	3692	18826	0	13	0	0	0	161	2	138	28	65	11	12	7	0	0	9	0	136	589	171	171	145	0	0	4807055b51e7e5d9639d7e1650af8c0e	100	187	"Acremonium_sclerotigenum|AJ621772|SH1291669.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sclerotigenum"
a66058207eaf39e7af80f5fc6683b51c	355	536	102	174	275	136	32	32	115	0	0	42	65	0	0	159	489	201	201	8	30	0	115	14	12	9	482	492	11	9983	378	24	14	58	929	1620	1664	29140	46502	22427	3813	1229	4367	907	126	102	1112	94	0	0	a66058207eaf39e7af80f5fc6683b51c	100	179	"Berkeleyomyces_rouxiae|MF952412|SH0917704.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Ceratocystidaceae;g__Berkeleyomyces;s__Berkeleyomyces_rouxiae"
f4bd03f8cd3044a5ec099d01947b2425	7709	3	9	10	0	0	0	10	281	106	219	15065	313	19	259	1018	535	0	0	7	0	0	9213	7	0	0	0	0	0	0	0	0	0	11930	0	409	476	276	213	255	227	121	72	12984	26316	12364	18863	26	0	0	f4bd03f8cd3044a5ec099d01947b2425	98.726	157	"GS11_sp|UDB02375502|SH0959961.09FU|reps|k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__GS11_fam_Incertae_sedis;g__GS11_gen_Incertae_sedis;s__GS11_sp"
7fa39fff8be43810f8677988f7ee0f08	74	4779	3281	3471	2903	2111	3539	1535	16	0	94	200	121	0	0	86	0	15326	361	1027	1169	6496	120	776	961	34819	26	13	0	0	0	272	21	134	552	0	0	0	0	0	5	0	31	74	357	308	206	1827	0	0	7fa39fff8be43810f8677988f7ee0f08	100	171	"Verticillium_dahliae|EF377335|SH1322720.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_dahliae"
a8c155075f6c8a65219ff7bed8bad58f	214	8	0	12	6	26	42	5	24	5	0	67	64	0	14	48	80	75	7	8	3	0	161	0	187	5	2235	16626	487	2127	186	324	6231	188	2	5851	6231	12304	1703	3866	10763	2734	10400	77	426	132	448	21	0	0	a8c155075f6c8a65219ff7bed8bad58f	99.024	205	"Pseudopyrenochaeta_lycopersici|AY649587|SH1298884.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudopyrenochaetaceae;g__Pseudopyrenochaeta;s__Pseudopyrenochaeta_lycopersici"
2d3c9ef9d8924c3c6b2f42d2f25d24d7	15934	751	949	1034	1935	2264	669	852	1157	181	310	1050	982	15	135	9857	3857	3089	1285	4488	2223	146	4009	135	1545	189	0	5	10	99	12	31	0	1978	610	1702	2138	33	1174	0	43	110	284	475	178	970	726	1620	0	0	2d3c9ef9d8924c3c6b2f42d2f25d24d7	98.824	255	"Lobulomycetales_sp|UDB03108022|SH1178563.09FU|reps|k__Fungi;p__Chytridiomycota;c__Lobulomycetes;o__Lobulomycetales;f__Lobulomycetales_fam_Incertae_sedis;g__Lobulomycetales_gen_Incertae_sedis;s__Lobulomycetales_sp"
a0e170be2b547d759e8c14e25a61a44d	707	0	0	0	0	0	0	0	97	10	53	338	85	0	15	91	148	0	0	0	0	0	725	0	0	0	0	0	0	2296	0	0	0	464	0	10365	10112	9609	2661	4649	7607	4133	10973	351	1160	710	862	0	0	0	a0e170be2b547d759e8c14e25a61a44d	99.519	208	"Pseudopyrenochaeta_terrestris|LT623228|SH0898067.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudopyrenochaetaceae;g__Pseudopyrenochaeta;s__Pseudopyrenochaeta_terrestris"
079240a1ba113328cf31bd0c39964cfb	2798	6824	8044	6339	4647	3418	3254	2378	106	38	81	2024	0	0	0	338	0	2561	267	414	523	9	2219	338	166	0	0	0	0	0	0	0	0	2678	0	54	117	0	0	0	0	0	0	2061	3964	3534	4297	3211	0	0	079240a1ba113328cf31bd0c39964cfb	100	194	"Podila_epicladia|HQ630319|SH2190302.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_epicladia"
253f437cb1cf629fd6c53a691fc895e2	82	39	51	290	108	55	316	252	0	0	81	0	0	0	0	0	0	1100	873	652	365	15	0	24	13643	115	4927	1685	4114	12964	451	2839	19044	0	311	275	506	0	241	197	0	116	199	0	0	0	0	373	0	0	253f437cb1cf629fd6c53a691fc895e2	98.765	162	"Olpidium_sp|UDB0365961|SH1223275.09FU|reps|k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_sp"
647015009bc9e4af1ac3b36c0d8ca594	2970	0	91	0	113	0	50	50	617	9	34	274	265	0	67	1793	643	231	280	9500	44	0	341	0	0	0	0	110	1372	0	0	277	727	287	88	7515	8757	4590	2673	3507	6425	4828	5285	196	56	1475	94	160	0	0	647015009bc9e4af1ac3b36c0d8ca594	99.383	162	"Olpidium_sp|UDB0365961|SH1223275.09FU|reps|k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_sp"
5d6d6c05afdbb3cf368a2f0a0328a077	84	0	10	10	29	0	0	0	1065	93	118	28	1388	382	1809	204	1285	926	559	251	128	0	131	5284	555	35033	0	0	32	0	14	31	10	42	10	0	9	0	10	0	15	0	0	92	119	197	100	11	0	0	5d6d6c05afdbb3cf368a2f0a0328a077	100	193	"Cladosporium_halotolerans|DQ780364|SH2100630.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_halotolerans"
a2878a4e252dfa8b1162300ca2040ca5	432	2429	2640	3046	1858	1707	0	1187	0	2529	12	431	0	0	0	337	0	642	251	514	324	17	389	0	510	0	0	278	175	56	254	0	0	476	0	9027	8787	861	596	174	1385	211	0	444	806	589	740	1355	0	0	a2878a4e252dfa8b1162300ca2040ca5	99.479	192	"Nectriaceae_sp|KX788197|SH0994942.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp"
47a7ae06f5a459ef43c7edca50cd84b3	127	459	391	254	250	300	189	226	1476	1484	2418	631	1032	8461	12093	5160	2639	59	62	77	59	13	651	69	484	8	5	0	0	0	0	20	2	451	7	48	43	0	6	0	6	0	0	256	674	469	473	263	0	0	47a7ae06f5a459ef43c7edca50cd84b3	97.312	186	"Geosmithia_sp|UDB03042562|SH0945922.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Geosmithia;s__Geosmithia_sp"
0adbc053100f448fb99ea181a8671219	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40565	0adbc053100f448fb99ea181a8671219	98.684	152	"Cryptococcus_neoformans|FJ534879|SH0984077.09FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_neoformans"
9b6786794a03f3a5c4444d2a00585971	0	4203	5536	6892	3405	2368	1417	2183	0	0	0	0	0	0	0	0	67	2297	697	932	867	24	0	123	1146	43	0	42	14	0	0	70	19	0	545	0	0	0	0	0	0	0	0	0	0	0	0	2258	0	3	9b6786794a03f3a5c4444d2a00585971	99.405	168	"Brunneomyces_brunnescens|LN810520|SH0909374.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Brunneomyces;s__Brunneomyces_brunnescens"
